Publication number,Family ID,Owner,title,Patenting date,Patent status,Impact score,Google link
EP-2579022-A1,45003860,Nippon Steel And Sumikin Chemical Co Ltd,Metal microparticle composite and method for producing the same,5/28/2010,Withdrawn,0.599259077,https://patents.google.com/patent/EP2579022A1
EP-2579367-A1,45003570,Osaka Titanium Technologies Co Ltd,"Powder for negative electrode material of lithium-ion rechargeable battery electrode, and method of producing same",5/25/2010,Withdrawn,0.469897035,https://patents.google.com/patent/EP2579367A1
EP-2579368-A1,45066786,Jxtg Nippon Oil And Energy Corp,Coking coal compound for anode material of lithium ion secondary battery,5/31/2010,Granted,0.425256078,https://patents.google.com/patent/EP2579368A1
EP-2587572-A1,45371553,Jxtg Nippon Oil And Energy Corp,Raw material carbon composition for lithium ion secondary battery negative electrode material,6/25/2010,Granted,0.18335567,https://patents.google.com/patent/EP2587572A1
EP-2588409-A1,43982226,Umicore Nv Sa,Submicron sized silicon powder with low oxygen content,6/29/2010,Granted,0.656347119,https://patents.google.com/patent/EP2588409A1
EP-2590247-A1,45402162,Jxtg Nippon Oil And Energy Corp,Stock oil composition for carbonaceous material for negative electrodes of lithium-ion secondary batteries,6/30/2010,Granted,0.23824621,https://patents.google.com/patent/EP2590247A1
EP-2594995-A1,45440086,University College Cork,A method for providing a nanopattern of metal oxide nanostructures on a substrate,11/16/2011,Withdrawn,0.376898732,https://patents.google.com/patent/EP2594995A1
EP-2603450-A1,44545921,University Of Massachusetts Umass,Yeast cell wall particle for receptor-targeted nanoparticle delivery,8/14/2010,Granted,0.700824767,https://patents.google.com/patent/EP2603450A1
EP-2603919-A1,42669348,Spindeco Oy,Spin-current effect in carbon coated conductors,8/9/2010,Granted,0.504797897,https://patents.google.com/patent/EP2603919A1
EP-2615063-A1,45810798,Bridgestone Corp,Method of producing silicon fine particles and method of controlling particle size of silicon fine particles,9/10/2010,Withdrawn,0.255900812,https://patents.google.com/patent/EP2615063A1
EP-2615673-A2,46132347,Sk Innovation Co Ltd,"Positive electrode active material for a lithium secondary battery, method for producing same, and lithium secondary battery comprising same",9/9/2010,Granted,0.94125151,https://patents.google.com/patent/EP2615673A2
EP-2616564-A1,44903292,Oue Skeleton Technologies,Verfahren zur herstellung von gleichmässig dispergierten siliciumcarbid-kohlenstoffverbundstoffen,9/13/2010,Granted,0.305428711,https://patents.google.com/patent/EP2616564A1
EP-2619788-A1,45873991,Fujifilm Corp,Nanoimprinting method and method for producing substrates utilizing the nanoimprinting method,9/24/2010,Withdrawn,0.644844275,https://patents.google.com/patent/EP2619788A1
EP-2621626-A1,44860505,Gtat Corp,Heater and related methods therefor,9/27/2010,Granted,0.328553627,https://patents.google.com/patent/EP2621626A1
EP-2621859-A1,43738341,Universita Degli Studi Di Salerno,"One-pot-synthese von mit langkettigem amin und/oder carbonsäure und/oder thiol funktionalisierten 2d-, 1d- und 0d-nanokristallen aus wolfram- und molybdänchalcogeniden (ws2, mos2)",10/1/2010,Granted,0.97449405,https://patents.google.com/patent/EP2621859A1
EP-2622334-A1,44681415,3M Innovative Properties Co,"Sensor element, method of making the same, and sensor device including the same",9/30/2010,Granted,0.612469912,https://patents.google.com/patent/EP2622334A1
EP-2624281-A1,45892312,Fujifilm Corp,"Nanoimprinting mold, method of manufacturing thereof, and nanoimprinting method",9/29/2010,Withdrawn,0.268939723,https://patents.google.com/patent/EP2624281A1
EP-2625709-A1,45927126,Commonwealth Scientific And Industrial Research Organization Csiro,Gesinterte vorrichtung,10/5/2010,Withdrawn,0.882832466,https://patents.google.com/patent/EP2625709A1
EP-2626960-A2,47666040,Samsung Electronics Co Ltd,"Aktives lasermedium mit nanopartikeln, laservorrichtung mit dem aktiven lasermedium und verfahren zur herstellung von nanopartikeln",2/10/2012,Withdrawn,0.492020371,https://patents.google.com/patent/EP2626960A2
EP-2627440-A1,45044634,Innovnano Materiais Avancados Sa,"Procédé de synthèse de nanomatériaux à partir de la préparation et de la détonation d'une émulsion, produits et émulsions associés",10/15/2010,Pending,0.320355132,https://patents.google.com/patent/EP2627440A1
EP-2627443-A1,48668746,Hanwha Chemical Corp,Preparation of an electrode-active material by using a double-pipe type heat exchanger,12/20/2011,Withdrawn,0.273888819,https://patents.google.com/patent/EP2627443A1
EP-2627605-A2,44799989,Maxplanckgesellschaft Zur Forderung Der Wissenschaften,Process for producing highly ordered nanopillar or nanohole structures on large areas,10/13/2010,Granted,0.755168961,https://patents.google.com/patent/EP2627605A2
EP-2629316-A1,47155324,Cetc 38 Research Institute,Source de particules et son procédé de fabrication,5/16/2011,Granted,0.438270636,https://patents.google.com/patent/EP2629316A1
EP-2629962-A1,44227721,Short Brothers Plc,Method of forming a composite material with added nanoparticles and carrier material containing nanoparticles,10/18/2010,Granted,0.298635287,https://patents.google.com/patent/EP2629962A1
EP-2634146-A1,45993763,Mitsubishi Materials Corp,"Indium tin oxide powder, method for producing same, dispersion, paint, and functional thin film",10/26/2010,Granted,0.881502208,https://patents.google.com/patent/EP2634146A1
EP-2634295-A1,45316702,Obshestvo S Ogranichennoj Otvetstvennostju Grannik,Method for producing gemstones from silicon carbide,10/28/2010,Withdrawn,0.180601135,https://patents.google.com/patent/EP2634295A1
EP-2634777-A1,45993380,Sony Corp,"Transparenter elektrisch leitender film, verfahren zur herstellung des transparenten elektrisch leitenden films, photoelektrische wandlervorrichtung und elektronische ausrüstung damit",10/25/2010,Withdrawn,0.992790234,https://patents.google.com/patent/EP2634777A1
EP-2635523-A1,43401671,Cambridge Enterprise Ltd,Matériaux de carbone comprenant des nanotubes de carbone et procédés de fabrication de nanotubes de carbone,11/2/2010,Granted,0.649158561,https://patents.google.com/patent/EP2635523A1
EP-2642546-A1,46084047,Sekisui Chemical Co Ltd,"Ink for active layer of organic solar cell, organic solar cell, and process for manufacture of organic solar cell",11/16/2010,Withdrawn,0.476566443,https://patents.google.com/patent/EP2642546A1
EP-2647050-A1,45507641,Novaled Gmbh,Method for forming an electrical interconnection in an organic photovoltaic device and an organic photovoltaic device made by the same,12/3/2010,Granted,0.766847089,https://patents.google.com/patent/EP2647050A1
EP-2647600-A1,46171793,Sekisui Chemical Co Ltd,"Carbonaceous material, process for producing carbonaceous material, process for producing flaked graphite, and flaked graphite",11/29/2010,Withdrawn,0.501252748,https://patents.google.com/patent/EP2647600A1
EP-2647977-A1,48044724,Eidgenoessische Technische Hochschule Zurich Ethz,Method and apparatus for measuring charge and size of single objects in a fluid,4/3/2012,Withdrawn,0.626516263,https://patents.google.com/patent/EP2647977A1
EP-2648239-A1,48044789,Technische Universitaet Dresden,A method for producing a vertical organic field effect transistor and a vertical organic field effect transistor,4/5/2012,Granted,0.345054401,https://patents.google.com/patent/EP2648239A1
EP-2648764-A1,46206464,University Of Western Australia,Multifunctional nanoparticles,12/7/2010,Withdrawn,0.275075404,https://patents.google.com/patent/EP2648764A1
EP-2654095-A1,46244490,Alps Electric Co Ltd,Capteur magnétique et son procédé de fabrication,12/16/2010,Withdrawn,0.57017781,https://patents.google.com/patent/EP2654095A1
EP-2658009-A1,46313037,Oceans King Lighting Science And Technology Co Ltd,"Electrode plate, preparing method therefor, super capacitor and lithium ion battery",12/22/2010,Withdrawn,0.517374238,https://patents.google.com/patent/EP2658009A1
EP-2660198-A1,46382200,Oceans King Lighting Science And Technology Co Ltd,Porous graphene material and preparation method and uses as electrode material thereof,12/29/2010,Withdrawn,0.997384591,https://patents.google.com/patent/EP2660198A1
EP-2660199-A1,46382222,Oceans King Lighting Science And Technology Co Ltd,"Composite material of carbon-coated graphene oxide, preparation method and application thereof",12/31/2010,Withdrawn,0.913002691,https://patents.google.com/patent/EP2660199A1
EP-2660356-A1,46383215,University Of Tokyo Nuc,Organic compound hydrogenation device and hydrogenation method,12/28/2010,Withdrawn,0.770790977,https://patents.google.com/patent/EP2660356A1
EP-2664427-A1,46506938,Scivax Corp,Dispositif de réglage de température et dispositif d'impression utilisant ce dispositif,1/10/2011,Withdrawn,0.636761137,https://patents.google.com/patent/EP2664427A1
EP-2664430-A1,46507259,Tokyo Institute Of Technology Nuc,"Method for producing mold for fine pattern transfer, method for producing diffraction grating using same, and method for manufacturing organic el element which comprises the diffraction grating",1/14/2011,Granted,0.888632201,https://patents.google.com/patent/EP2664430A1
EP-2671449-A1,48607243,Construction Research And Technology Gmbh,Use of vanadium pentoxide particles as a biocide,6/6/2012,Withdrawn,0.461804848,https://patents.google.com/patent/EP2671449A1
EP-2671846-A1,46602837,National Institute Of Advanced Industrial Science And Technology Aist,Noble metal-oxide joined nanoparticles and method for high-purity production of the same,2/2/2011,Granted,0.622924456,https://patents.google.com/patent/EP2671846A1
EP-2671892-A1,46602563,Sekisui Chemical Co Ltd,Procédé pour la production de matériau composite de graphite lamellaire-polymère,2/4/2011,Granted,0.904957375,https://patents.google.com/patent/EP2671892A1
EP-2674396-A1,46638738,National Institute Of Advanced Industrial Science And Technology Aist,Method for producing graphene and graphene,2/10/2011,Granted,0.770165509,https://patents.google.com/patent/EP2674396A1
EP-2678881-A1,43904252,Ucl Business Ltd,Semiconductor device and fabrication method,2/26/2011,Pending,0.544176627,https://patents.google.com/patent/EP2678881A1
EP-2684845-A1,46798028,Shin Etsu Chemical Co Ltd,Readily sinterable silicon carbide powder and silicon carbide ceramic sintered body,3/8/2011,Withdrawn,0.317738503,https://patents.google.com/patent/EP2684845A1
EP-2686422-A2,46831299,Icgeb International Centre For Genetic Engineering And Biotechnology,Carbon-nanotube modulation of myocyte cells,3/14/2011,Granted,0.414462228,https://patents.google.com/patent/EP2686422A2
EP-2687234-A1,46879313,Konica Minolta Inc,"Silica-nanopartikel zur diagnostischen bilderzeugung, herstellungsverfahren dafür und biosubstanzen-markierungsmittel",3/18/2011,Withdrawn,0.355992434,https://patents.google.com/patent/EP2687234A1
EP-2689479-A1,46879035,Toshiba Corp,Organic molecular memory,3/24/2011,Withdrawn,0.738490672,https://patents.google.com/patent/EP2689479A1
EP-2691339-A1,44067671,Ucl Business Ltd,Reinigungsverfahren,3/30/2011,Withdrawn,0.318712842,https://patents.google.com/patent/EP2691339A1
EP-2692909-A1,47258681,Shin Etsu Chemical Co Ltd,"Method for selecting polycrystalline silicon bar, and method for producing single-crystalline silicon",6/2/2011,Granted,0.827625895,https://patents.google.com/patent/EP2692909A1
EP-2693540-A1,46931219,Jxtg Nippon Oil And Energy Corp,"Coking coal composition of carbon material for negative electrode of lithium ion secondary battery, and production method thereof",3/30/2011,Granted,0.243075253,https://patents.google.com/patent/EP2693540A1
EP-2693541-A1,46931220,Jxtg Nippon Oil And Energy Corp,"Matériau de carbone pour électrode négative de batterie secondaire au lithium-ion, et procédé de production associé",3/30/2011,Pending,0.251886992,https://patents.google.com/patent/EP2693541A1
EP-2695857-A1,46969167,Chuo Denki Kogyo Co Ltd,Modified natural graphite particles,4/8/2011,Withdrawn,0.338867201,https://patents.google.com/patent/EP2695857A1
EP-2697161-A1,47107995,Brookhaven Science Associates Llc,Methods for the bio-programmable crystallization of multi-component functional nanoparticle systems,4/13/2011,Withdrawn,0.601667035,https://patents.google.com/patent/EP2697161A1
EP-2699266-A1,47041958,Tufts University,Compositions and methods for stabilization of active agents,4/21/2011,Granted,0.704709266,https://patents.google.com/patent/EP2699266A1
EP-2705473-A2,47324205,Centre National De La Recherche Scientifique Cnrs,Method and device to modify properties of molecules or materials,5/6/2011,Withdrawn,0.678103333,https://patents.google.com/patent/EP2705473A2
EP-2707329-A1,46022158,Merck Patent Gmbh,Process for producing inorganic particulate material,5/13/2011,Granted,0.283100067,https://patents.google.com/patent/EP2707329A1
EP-2708506-A1,47139291,Shizuoka University Nuc,Verfahren und vorrichtung zur herstellung von kohlenstoffnanoröhren,5/10/2011,Pending,0.765828427,https://patents.google.com/patent/EP2708506A1
EP-2708521-A1,47176795,Asahi Glass Co Ltd,Method for producing conductive mayenite compound,5/13/2011,Granted,0.375131476,https://patents.google.com/patent/EP2708521A1
EP-2709770-A1,47177378,Northeastern University Boston,Carbon nanotube-based electrode and rechargeable battery,5/19/2011,Withdrawn,0.863990401,https://patents.google.com/patent/EP2709770A1
EP-2714590-A1,46168436,Nanocyl Sa,Installation and method for the functionalization of particulate and powdered products,5/23/2011,Granted,0.460185384,https://patents.google.com/patent/EP2714590A1
EP-2716600-A1,47259366,Zeon Corp,Appareil et procédé de fabrication d'un agrégat de nanotubes de carbone orientés,5/31/2011,Withdrawn,0.402367592,https://patents.google.com/patent/EP2716600A1
EP-2716602-A1,47258916,Jx Nippon Mining And Metals Corp,Copper foil for producing graphene and method for manufacturing graphene,6/2/2011,Withdrawn,0.604631281,https://patents.google.com/patent/EP2716602A1
EP-2717345-A1,47258726,Sony Corp,Method for producing protein semiconductor,5/27/2011,Withdrawn,0.250461171,https://patents.google.com/patent/EP2717345A1
EP-2719660-A1,49162052,Korea Institute Of Energy Research Kier,"Method for synthesizing carbon nanowires at high density on surface of pores or gaps in structure, and hierarchical structure synthesized by the method",10/9/2012,Granted,0.475194308,https://patents.google.com/patent/EP2719660A1
EP-2721663-A2,48782058,Applied Materials Inc,Mask-less fabrication of thin film batteries,6/17/2011,Granted,0.56257034,https://patents.google.com/patent/EP2721663A2
EP-2724380-A1,44514821,Big Solar Ltd,Method of making a structure comprising coating steps and corresponding structure and devices,6/23/2011,Granted,0.35718372,https://patents.google.com/patent/EP2724380A1
EP-2725123-A1,47422193,Tohoku University Nuc,Method for producing nitride single crystal and autoclave used therefor,6/23/2011,Withdrawn,0.513272123,https://patents.google.com/patent/EP2725123A1
EP-2729243-A2,46514720,Pst Sensors Pty Ltd,Method of producing nanoparticles,7/8/2011,Granted,0.895218956,https://patents.google.com/patent/EP2729243A2
EP-2733117-A2,47514440,Ltc Co Ltd,Inorganic particle scattering film having a good light-extraction performance,7/14/2011,Withdrawn,0.804517374,https://patents.google.com/patent/EP2733117A2
EP-2736052-A1,47558534,Beijing Gignano Biointerface Co Ltd,A metal and metal oxide material having an organic surface modification and manufacturing method therefor,7/15/2011,Granted,0.352209348,https://patents.google.com/patent/EP2736052A1
EP-2737934-A1,47600514,Sinopec Research Institute Of Petroleum Processing ,Method for removing sulfur oxide and nitrogen oxide from flue gas,7/28/2011,Granted,0.442190395,https://patents.google.com/patent/EP2737934A1
EP-2738292-A1,47601181,Mitsubishi Rayon Co Ltd,Flame-retardant heat treatment furnace,7/28/2011,Granted,0.575499178,https://patents.google.com/patent/EP2738292A1
EP-2738790-A1,47598652,Abengoa Solar New Technologies Sa,Procédure de préparation d'une seule barrière et/ou couche ou multicouche diélectrique sur un substrat et dispositif pour sa mise en 'uvre,11/28/2012,Withdrawn,0.518659306,https://patents.google.com/patent/EP2738790A1
EP-2738842-A1,47629244,Sumitomo Bakelite Co Ltd,"Method for producing carbon material for lithium ion secondary batteries, carbon material for lithium ion secondary batteries, negative electrode active material for lithium ion secondary batteries, composition, carbon composite material for negative electrodes of lithium ion secondary batteries, negative electrode mixture for lithium ion secondary batteries, negative electrode for lithium ion secondary batteries, and lithium ion secondary battery",7/29/2011,Withdrawn,0.652744764,https://patents.google.com/patent/EP2738842A1
EP-2743232-A1,47668556,Ajinomoto Co Inc,Porous structure and method for producing same,8/8/2011,Withdrawn,0.919298837,https://patents.google.com/patent/EP2743232A1
EP-2743938-A1,47668538,Nippon Soda Co Ltd,Laminate and manufacturing process therefor,8/10/2011,Withdrawn,0.331960227,https://patents.google.com/patent/EP2743938A1
EP-2745341-A1,46724659,Dow Corning Toray Co Ltd,Electrode composition comprising a silicon powder and method of controlling the crystallinity of a silicon powder,8/15/2011,Withdrawn,0.863513959,https://patents.google.com/patent/EP2745341A1
EP-2753719-A1,47018682,Vale Sa,Application de nanotubes de carbone sur des agglomérats de fines de minerai pour augmenter la résistance mécanique,9/8/2011,Granted,0.41837738,https://patents.google.com/patent/EP2753719A1
EP-2754725-A1,47832144,Fukuoka Prefectural Government,"Aluminum-based electroconductive material, and electric wire and cable obtained using same",9/5/2011,Granted,0.778970508,https://patents.google.com/patent/EP2754725A1
EP-2758981-A1,46963697,Mapper Lithography Ip Bv,Method and apparatus for predicting a growth rate of deposited contaminants,9/19/2011,Pending,0.331214415,https://patents.google.com/patent/EP2758981A1
EP-2759520-A1,47914149,Shin Etsu Chemical Co Ltd,Device for producing polycrystal silicon and method for producing polycrystal silicon,9/20/2011,Granted,0.536222695,https://patents.google.com/patent/EP2759520A1
EP-2759558-A1,47913787,Oceans King Lighting Science And Technology Co Ltd,Matériau difluoro benzotriazolyle organique semiconducteur et son procédé de préparation et d'utilisation,9/23/2011,Withdrawn,0.308986577,https://patents.google.com/patent/EP2759558A1
EP-2760894-A1,48289889,Canon Inc,Photo-curable composition and patterning method using the same,11/10/2011,Granted,0.71097287,https://patents.google.com/patent/EP2760894A1
EP-2762444-A1,47995494,Tokyo Institute Of Technology Nuc,Tinte zur herstellung einer verbundhalbleiterdünnschicht und herstellungsverfahren dafür,9/30/2011,Withdrawn,0.551181072,https://patents.google.com/patent/EP2762444A1
EP-2762561-A1,47747362,Inofea Gmbh,Method of producing nanobiocatalysts,1/30/2013,Withdrawn,0.258498733,https://patents.google.com/patent/EP2762561A1
EP-2763150-A1,46793908,Enzo Planning Co Ltd,Thin-film capacitor device,8/18/2011,Withdrawn,0.347137896,https://patents.google.com/patent/EP2763150A1
EP-2763219-A2,47996581,Korea Electronics Technology Institute,"Vorläufer eines kathodenaktivmaterials für eine lithiumsekundärbatterie, kathodenaktivmaterial, verfahren zur herstellung des kathodenaktivmaterials und lithiumsekundärbatterie mit dem kathodenaktivmaterial",9/26/2011,Withdrawn,0.47579607,https://patents.google.com/patent/EP2763219A2
EP-2764352-A1,48044049,Cpfilms Inc,"Procédé d'activation d'un métal noble afin de mesurer le glucose, et électrode de biocapteur associée",10/3/2011,Withdrawn,0.332522632,https://patents.google.com/patent/EP2764352A1
EP-2766722-A1,47297332,Ecole Polytechnique Federale De Lausanne Epfl,Nanoscale motion detector,10/14/2011,Granted,0.267701788,https://patents.google.com/patent/EP2766722A1
EP-2768050-A1,48081547,Shin Etsu Chemical Co Ltd,"Silicon oxide for negative electrode material of nonaqueous electroltye secondary cell, method for producing same, lithium ion secondary cell, and electrochemical capacitor",10/14/2011,Granted,0.421573684,https://patents.google.com/patent/EP2768050A1
EP-2771277-A1,48168176,Nanyang Technological University,Procédés d'enrichissement de différentes espèces de nanotubes de carbone,10/28/2011,Granted,0.697974875,https://patents.google.com/patent/EP2771277A1
EP-2777084-A1,47324378,Dankook University Industryacademic Cooperation Foundation,Method of preparing the surface of metal substrates for organic photosensitive devices,11/1/2011,Withdrawn,0.349916842,https://patents.google.com/patent/EP2777084A1
EP-2782170-A1,48429617,Denka Co Ltd,"Composite particles, manufacturing method thereof, electrode material for secondary battery, and secondary battery",11/15/2011,Granted,0.565253589,https://patents.google.com/patent/EP2782170A1
